participant_id,group,event_type,element_id,timestamp,phase,username,timestamp,pasted_content,message,url,hover_duration_ms,group,highlighted_text
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,paste,chat-input,2026-06-22 07:39:47.641582+00,part2,känguru,2026-06-22T07:39:47.507Z,Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?,,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,paste,chat-input,2026-06-22 07:43:02.984914+00,part2,känguru,2026-06-22T07:43:02.869Z,Wie tief ist das Challenger Deep im Marianengraben ungefähr?,,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,message-send,chat-input,2026-06-22 07:27:56.851287+00,part1,känguru,,,wie viel ist das in Pascal?,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,source-link-hover-end,source-link,2026-06-22 07:27:45.829986+00,part1,känguru,,,,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,496,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,source-link-hover-end,highlight-source-seg_185,2026-06-22 07:40:25.657229+00,part2,känguru,,,,https://science.nasa.gov/venus/venus-facts/,11,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,paste,chat-input,2026-06-22 07:31:48.081866+00,part1,känguru,2026-06-22T07:31:47.894Z,Welches Produkt wurde 1974 als erstes mit einem UPC-Barcode an einer Supermarktkasse gescannt?,,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,message-send,chat-input,2026-06-22 07:41:59.76007+00,part2,känguru,,,Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,source-link-hover-start,highlight-source-seg_185,2026-06-22 07:40:25.647512+00,part2,känguru,,,,https://science.nasa.gov/venus/venus-facts/,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,source-link-hover-start,source-link,2026-06-22 07:27:45.548732+00,part1,känguru,,,,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,copy,message-1782113346423,2026-06-22 07:29:56.16328+00,part1,känguru,,,,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,message-send,chat-input,2026-06-22 07:39:48.778164+00,part2,känguru,,,Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,message-send,chat-input,2026-06-22 07:26:34.084115+00,part1,känguru,,,Welcher exakte Zahlenwert gehört seit der SI-Neudefinition zur Avogadro-Konstante?,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,phase-advance,end-part1-button,2026-06-22 07:33:25.147555+00,part1,känguru,2026-06-22T07:33:24.987Z,,,,,beta,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,message-send,chat-input,2026-06-22 07:34:00.156255+00,part2,känguru,,,Welcher exakte Zahlenwert definiert seit der SI-Neudefinition die Planck-Konstante h?,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,paste,chat-input,2026-06-22 07:27:23.526852+00,part1,känguru,2026-06-22T07:27:23.326Z,"Welcher Druck entspricht einer Standardatmosphäre?

*",,,,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,source-link-hover-end,source-link,2026-06-22 07:32:44.23474+00,part1,känguru,,,,https://de.wikipedia.org/wiki/Global_Positioning_System,29,,
c6acb088-6e37-4d2c-ad90-94a5d24ee095,2,message-send,chat-input,2026-06-22 07:32:26.262684+00,part1,känguru,,,"Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?",,,,
